TraceId,Start Time,End Time,Question,Ideal Answer,Standard RAG Answer,Standard RAG Similarity Score,Standard RAG Bert Score,Hierarchical RAG Answer,Hierarchical RAG Similarity Score,Hierarchical RAG Bert Score,Graph-based RAG Answer,Graph-based RAG Similarity Score,Graph-based RAG Bert Score,Best Bert Score,Best RAG,RAG Score Reasoning,Reference,Has Answer,Ideal Answer Reasoning
7e90fd27-568b-4826-83f3-a6e32d749808,8/1/2025 13:40,8/1/2025 13:41,What are the key elements of an effective evacuation warning message?,"Effective evacuation warning messages include clear information about the hazardous impact, specific evacuation instructions, such as clearly identifying affected zones using maps or visuals, and language that is serious but not overly dramatic (e.g.,emergency)","Based on the provided text, key elements of an effective evacuation warning message include:

*   **Use warning language that will capture attention** (dangerous situation, emergency) but that is not overly dramatic.
*   **Highlight probable impacts to individuals who stay**, including lack of water and electricity and the potential duration of those impacts.
*   **Address the urgency for immediate action** by noting when it will no longer be safe to evacuate or for emergency personnel to attempt rescues as the storm gets close.
*   **Stress the benefits that will encourage individuals to evacuate early**, including: avoiding traffic congestion, driving during daylight hours, and having more assurance regarding availability of gasoline along routes.
*   **Provide up-to-date information on evacuation routes, alternatives, and services available**, including availability of gasoline.
*   **Provide as much detailed information as possible on evacuation routes, traffic, shelters and re-entry plans** to reduce the number of evacuation unknowns which can delay decision making.
*   **Mandatory evacuation orders significantly increased evacuation rates.**
*   **Direct warning messages to a smaller geographic area.**
*   **The warning forecast is specific to their area.**",0.890137741,0.533941269,"Based on the provided context, key elements of an effective evacuation warning message include:

*   **Attention-grabbing, but not overly dramatic language:** Use warning language that captures attention (dangerous situation, emergency) but that is not overly dramatic, which may cause individuals to feel the threat is overblown.
*   **Comparison to prior events:** Compare the potential impact of an upcoming hazard to similar prior events and their consequences.
*   **Urgency for immediate action:** Address the urgency for immediate action by noting when it will no longer be safe to evacuate or for emergency personnel to attempt rescues as the storm gets close.
*   **Easy corroboration:** Provide easy and quick ways for individuals to corroborate information through hyperlinks to other authoritative sources.
*   **Avoid ""voluntary"":** Do not use the term ""voluntary"" with evacuation notifications. If people in specific zones should evacuate, issue mandatory evacuation notifications.
*   **Clear zone identification:** Include time stamps and easy-to-identify zones or geographic boundary identifiers in notifications to help people comply.
*   **Explanation of evacuation decisions:** When issuing evacuation orders, explain the risks that led to the decision to evacuate some zones and why other zones are not evacuating.
*   **Encourage information sharing:** Always encourage individuals to share information with family and friends.
*   **Interactive maps:** Provide links to user-friendly interactive maps to help individuals locate their home and work addresses and know their zone. During the response phase, these maps should help individuals quickly know whether they are in a zone that is or is not under an evacuation order.
*   **Highlight probable impacts:** Highlight probable impacts to individuals who stay, including lack of water and electricity and the potential duration of those impacts.
",0.902113586,0.528014064,"Based on the context provided, key elements of an effective evacuation warning message include:

*   **Mandatory Evacuation Orders:** These significantly increase evacuation rates compared to voluntary orders.
*   **Clear Geographic Area:** Clearly define the evacuation area to avoid confusion, especially when conditions change.
*   **Personal Impact:** Describe the probable personal impact of the hazard (e.g., loss of utilities, travel bans) to motivate action.
*   **Comparison to Past Hazards:** Comparing the current hazard to similar past events helps individuals understand the risk.
*   **Source Credibility:** Information from trusted sources, including local authorities, is crucial.
*   **Environmental Cues:** Mention visual cues (e.g., rising water, smoke) to confirm the risk.
*   **Risk Information:** Include information about the risk of the hazard and its probable effect on individual safety, property damage and community functions.
*   **Prolonged Impact:** Include descriptions of prolonged impact on quality of life considerations (e.g., water, electricity, food).
*   **Hurricane Risks:** For hurricane risk, include all the risks associated with a hurricane in messages including wind, flooding and storm surge.",0.899392752,0.540806472,0.540806472,graph,"The BERTScore is average (0.54) because while the chatbot's response contains semantically similar elements to the ideal answersuch as using serious language and providing detailed instructionsit is significantly more verbose and includes additional details, leading to a lower direct overlap in content. The core concepts are present, but the expanded information dilutes the direct semantic similarity.","Improving Public Messaging, Section 2.1",True,The PDF details key findings for better public compliance
9f9fcaad-70df-43cd-bc08-042eacb89f5f,8/1/2025 13:41,8/1/2025 13:41,What are the safety recommendations for sheltering in place during a hurricane in a mobile home?,Manufactured or mobile homes are unsafe during a hurricane; individuals are advised to evacuate immediately and go to the nearest shelter or a sturdy building.,"Evacuate immediately. Do not stay inside. Go to a storm shelter or sturdy building. Manufactured structures such as mobile homes are unsafe during a hurricane.
",0.945546527,0.745048702,"Get out! Go to the nearest shelter. Manufactured structures such as mobile homes are unsafe during a hurricane.
",0.947646435,0.717450082,Evacuate immediately. Do not stay inside. Go to a storm shelter or sturdy building.,0.801895381,0.649390459,0.745048702,standard,"The BERTScore is very high because the chatbot's response is an almost direct restatement of the ideal answer. Both answers convey the critical, identical message that mobile homes are unsafe during a hurricane and that immediate evacuation to a shelter or sturdy building is necessary. The high semantic and lexical overlap results in a near-perfect score.","Shelter-in-Place Guidance (PDF 3), Shelter-in-Place for Hurricane",True,Directly stated in multiple places as an explicit exception.
e2f0474d-f618-4a53-9d92-83345ea18b1f,8/1/2025 13:41,8/1/2025 13:41,Describe the process recommended for sealing a room during a chemical hazard shelter-in-place event.,"Use duct tape and plastic sheeting to seal around doors and windows in the room where you take shelter, turn off all systems that draw outside air (AC, heaters, fans), and choose an interior room without windows.","During a chemical hazard shelter-in-place, seal the room by using duct tape and plastic sheeting to tape the gaps around doors and windows, cover any vents or recessed fans, and tape over electrical outlets. Also, close the fireplace damper and seal off any other place where air may come in from outside.
",0.880865621,0.668842614,"Use duct tape and plastic sheeting to seal around the windows and doors. Going to an interior room without windows will make it easier to seal the room.
",0.933046388,0.713512301,"During a chemical hazard shelter-in-place, seal the room by using duct tape and plastic sheeting to tape the gaps around doors and windows, cover any vents or recessed fans, and tape over electrical outlets. Going to an interior room without windows will make it easier to seal the room.",0.875156845,0.678900957,0.713512301,hierarchical,"The BERTScore is high because the chatbot's response accurately captures the core details of the ideal answer, including the use of plastic sheeting and duct tape to seal doors and windows and the recommendation to choose an interior room without windows. Although it omits the instruction to turn off air systems, the key actions for sealing are semantically present.","Shelter-in-Place for Chemical Hazard, PDF 3",True,Step-by-step instructions are explicitly given
098235aa-13fe-49cd-bf15-ec17ba0e9a53,2025-08-02 12:53:46,2025-08-02 12:53:58,How do authorities recommend sheltering in place during an active shooter event if you cannot safely escape?,"If escape is not possible, stay out of the shooter's view, lock and block entrances, turn off lights, silence electronic devices, and spread out if in a group; remain hidden until law enforcement signals an all-clear.","If you are not able to run to safety, stay in place until law enforcement gives you notice that the danger is over. Stay out of the shooter’s view. Lock and block entrances and turn off lights. Groups of people should spread out when hiding. Text 9-1-1 and text message others to silently communicate. Stay in place until given the-all-clear signal. Silence electronic devices and make sure they don’t vibrate.
",0.933170974897751,0.7110516428947449,"If you cannot get away safely, hide. Silence electronic devices. Lock and block doors, close blinds, turn off lights. Stay in place until law enforcement gives you notice that the danger is over.
",0.9058673776235671,0.6952405571937561,"If you are not able to run to safety, stay in place until law enforcement gives you notice that the danger is over. Silence electronic devices. Lock and block doors, close blinds, turn off lights.
",0.8831964029503208,0.6792594194412231,0.7110516428947449,standard,"The BERTScore is high because the chatbot's response is semantically very similar to the ideal answer, covering all the key safety recommendations like staying out of view, locking doors, silencing electronics, and staying put until an all-clear. The chatbot's answer is more detailed, but all the core actions are explicitly present, leading to a strong match in meaning.","Shelter-in-Place for Active Shooter, PDF 3",True,The document directly provides guidance on sheltering
b92bdf54-cbff-4888-9318-5c7912eed6b5,8/1/2025 14:16,8/1/2025 14:16,List two common impediments to evacuation highlighted in the public messaging for evacuation.,Traffic congestion and concerns about evacuating with pets are two common impediments.,"Based on the provided text, two common impediments to evacuation are:

1.  Traffic congestion and availability of gasoline.
2.  Reluctance to evacuate to public shelters due to concerns about crowding with strangers and being located farther away from social networks.
",0.8416805585322187,0.631195068,"Based on the document, two common impediments to evacuation are:

1.  Traffic congestion and availability of gasoline.
2.  The ability and cost of evacuating with pets.",0.8988991278594709,0.695197344,"Based on the context, two common impediments to evacuation are:

1.  Traffic congestion and availability of gasoline.
2.  Concerns about public shelters, including crowding with strangers and being located farther away from social networks.
",0.8372535485167918,0.6409928202629089,0.695197344,hierarchical,"The BERTScore is average (0.69) because the chatbot's response captures the two main impediments from the ideal answer (traffic congestion and pets), but the wording is different and it adds extra details (""availability of gasoline"" and ""cost of evacuating""), which reduces the direct semantic similarity.",Improving Public Messaging ¦ Section 5.1,True,Findings summarize primary barriers
9c6f2726-971a-4a53-b232-71e16b5084e2,8/1/2025 14:17,8/1/2025 14:17,"In the context of public messaging for evacuation, why might using photos or visual cues be recommended?","Including authoritative, geo-tagged photos or visuals of hazards helps confirm risks are real and motivates individuals to act on evacuation guidance.","Adding visuals, such as maps or photos, improved message comprehension and supported decision making. People also seek environmental cues for the decision to take a protective action.
",0.828091856,0.5898172855377197,"Visual cues play a significant role in the evacuation decision, and if environmental cues are not present, individuals may take a wait-and-see approach. Given a lack of visual cues, those in the evacuate group might move into the wait-and-see group. Similarly, upon seeing the visual cues, those in the stay-and-defend group might move into the wait-and-see group.",0.7268795759593982,0.4853243231773376,"Individuals find environmental cues such as sights important for confirming that a risk is real. Providing authoritative, time-stamped, geo-tagged photos and videos of hazards such as rising waters and wildfires can help confirm the risk.
",0.8902480601338163,0.7137560248374939,0.7137560248374939,graph,"The BERTScore is High  (0.71) because the chatbot's response captures the core idea that visuals help ""confirm"" the threat, which is a strong semantic match to the ideal answer. However, it omits the crucial detail about visuals also ""motivating individuals to act,"" which leads to a slight but noticeable content gap.",Improving Public Messaging¦ Section 1.3.1,True,Recommendation section.
f3db7177-dc6b-4ee7-ab18-9be9162b12c2,8/1/2025 13:43,8/1/2025 13:43,"How long should you shelter in place after a nuclear detonation, if you are not at immediate risk from fire or collapse?",Stay inside for 24 hours unless local authorities provide other instructions.,"Stay inside for 24 hours unless local authorities provide other instructions.
",0.99999999,0.999999881,"Stay inside for 24 hours unless local authorities provide other instructions.
",0.99999999,0.999999881,Stay inside for 24 hours unless local authorities provide other instructions.,0.99999999,0.999999881,0.999999881,standard,"The BERTScore is perfect (1.00) because the chatbot's response is an exact copy of the ideal answer. There is complete content overlap and no missing details, resulting in a perfect semantic and lexical match.","Shelter-in-Place for Nuclear Detonation, PDF 3",True,Direct instruction is given in the document.
3ccea601-c747-4b04-a311-2cadd50bc690,8/1/2025 14:18,8/1/2025 14:18,What is the recommended shelter-in-place action during an earthquake according to FEMA guidance?,"Drop to your hands and knees, take cover under sturdy furniture, and hold on until shaking stops.","Drop, Cover, and Hold On.
ÃÂÃÂ· Drop to your hands and knees so you donÃÂ¢ÃÂÃÂt fall.
ÃÂÃÂ· Take Cover under sturdy furniture. If not available, tuck and cover your neck and head with a coat, blanket, cushion, or your arms.
ÃÂÃÂ· Hold On to the furniture so you stay covered.
ÃÂÃÂ· Crawl only if you can reach better cover without going through an area with more debris.
",0.8521758523391629,0.6365842819213867,"Drop, Cover, and Hold On. Stay in the Drop, Cover, and Hold On position until shaking stops.
",0.8865265833853531,0.6604830026626587,"Stay where you are and Drop, Cover, and Hold On. Get under and hold on to sturdy furniture. Protect the head and neck with arms or pillows.
",0.8721476801737753,0.652633548,0.6604830026626587,hierarchical,"The BERTScore is average (0.66) because the chatbot's response captures the core actions of ""Drop, Cover, and Hold On,"" which is the central semantic point. However, it is missing the specific detail from the ideal answer that one should take cover ""under sturdy furniture"" and ""on your hands and knees,"" which makes the chatbot's response less detailed and lowers the score.","Shelter-in-Place for Earthquake, PDF 3",True,Summary boxes and main text provide details.
07d62c21-25e4-40d3-a460-6bbe14effe5e,8/1/2025 14:19,8/1/2025 14:19,Why might people choose not to evacuate even if under an order,"Concerns include property security, cost of evacuation, presence of pets, traffic, uncertainty about shelter, and prior negative experience (e.g., evacuation fatigue)","Based on the provided text, people may choose not to evacuate due to:

*   Concerns about home repairs, such as delays leading to mold, and fear of looting.
*   Costs of evacuation, including travel expenses.
*   Potential issues regarding the legal status of undocumented immigrants.
*   Stress and anxiety related to the unknowns of evacuation, such as destination, shelter space and safety, and separation from family/pets.
*   Disagreement among family members about whether to stay or leave.
*   Reluctance to go to public shelters due to crowding and being far from social networks.
*   Ongoing job responsibilities.
*   If individuals in areas that should evacuate did not see neighbors leave, that may have caused them to conform to the neighborhood norm and also not evacuate.
*   Increasing traffic congestion as the storm came closer became an impediment.",0.8459402228970859,0.5395072102546692,"Based on the provided context, people may choose not to evacuate due to:

*   **Traffic congestion and availability of gasoline:** Concerns about traffic and fuel availability can deter evacuation.
*   **Evacuating with pets:** The difficulty and cost of evacuating with pets can be a barrier.
*   **Security of the home:** Concerns about the physical security of their home and potential looting.
*   **Costs of evacuation:** The expense of travel and accommodation.
*   **Legal status:** Potential issues related to the legal status of undocumented immigrants.
*   **Stress and anxiety:** The stress and anxiety surrounding evacuation decision-making.
*   **Disagreement among family members:** Lack of agreement within the family about whether to evacuate.
*   **Concerns about public shelters:** Reluctance to go to public shelters due to crowding and distance from social networks.
*   **Job responsibilities:** The need to continue with ongoing job responsibilities.
*   **Preparedness:** Individuals who had prepared for an emergency by strengthening their home or purchasing generators were less likely to evacuate.
*   **Homebound adults:** Homebound adults indicated a lack of ability to evacuate due to issues of physical mobility.
",0.8696621316546421,0.4792162179946899,"Based on the provided text, people might choose not to evacuate due to:

*   Concerns about traffic congestion and availability of gasoline.
*   Reluctance to go to public shelters due to crowding, being with strangers, and being located far from social networks.
*   Ongoing job responsibilities.
*   Anxiety and logistical challenges related to evacuating with children, especially younger children or larger numbers of children.
*   Uncertainty regarding destination and cost.",0.8492429806936488,0.5452945232391357,0.5452945232391357,graph,"The BERTScore is average (0.55) because, while the chatbot's response includes several semantically similar reasons for not evacuating (traffic, cost, uncertainty about shelters), it misses key reasons like concerns about ""property security"" and ""pets."" The chatbot also adds new, unrelated details (""ongoing job responsibilities""), which further reduces the direct content overlap and semantic similarity.",Improving Public Messaging¦ Section 5.1,True,Synthesized from multiple finding.
8ab8e95c-9426-4b06-8838-fad44f826a02,8/1/2025 14:20,8/1/2025 14:20,what should you do if floodwaters rise to a dangerous level while sheltering?,"Go to the highest level of the building or onto the roof, but do not climb into a closed attic ; call 911 for rescue.","Go to the highest level of the building or onto the roof if necessary. Do not climb into a closed atticâyou may become trapped by rising flood water. Call 911.
",0.9434762219514902,0.8125455975532532,"Go to the highest level of the building or onto the roof if necessary. Do not climb into a closed atticâyou may become trapped by rising flood water. Call 911.
",0.9434762219514902,0.8125455975532532,"If floodwaters rise to a dangerous level:

*   Go to the highest level of the building or onto the roof if necessary.
*   Do not climb into a closed atticâyou may become trapped by rising flood water.
*   Call 911.",0.8965253155717164,0.7304489016532898,0.8125455975532532,standard,"The BERTScore is good (0.81) because the chatbot's response is semantically and lexically very similar to the ideal answer. Both answers provide the same critical information: go to the highest point, do not enter a closed attic, and call 911 for rescue. The high degree of content overlap and the almost identical phrasing lead to a strong score.","Shelter-in-Place for Flooding/Flash Flooding, PDF 3",True,Clear step-by-step instructions.
